Barcode,Batch,Equipment,Ingested,Call Number,Title,Author,Imprint,BibId
30112029936769,LO_2020_07_23,,FALSE,DS895.F7 T2122,Taiwan wen xian.,Taiwan Sheng wen xian wei yuan hui.,"[Taibei : Taiwan sheng wen xian wei yuan hui, 1955",99184912212205899
30112010317342,LO_2020_07_23,,FALSE,639.28 C473W,Whale ships and whaling /,"Church, Albert Cook,","New York : Bonanza Books, c1938.",99114270912205899
30112013030793,LO_2020_07_23,,FALSE,PR6035.H96 Z474 1979,Smile please : an unfinished autobiography /,"Rhys, Jean.","New York : Harper & Row, ©1979.",9941148412205899
30112013033805,LO_2020_07_23,,FALSE,823 SM565H1979,The holiday /,"Smith, Stevie,","London : Virago, 1979.",9941674612205899
30112058106078,LO_2020_07_23,,FALSE,GR341.T63 Y36 1993,Tōno monogatari ; Yama no jinsei /,"Yanagita, Kunio,","Tōkyō : Iwanami Shoten, 1993",99452950612205899
30112007001081,LO_2020_07_23,,FALSE,658.3 ST6L,"Leader behavior: its description and measurement,","Stogdill, Ralph M.","Columbus, Bureau of Business Research, College of Commerce and Administration, Ohio State University [1957]",9936370512205899
30112076878633,LO_2020_07_23,,FALSE,875.3 Ap4r.F2006,"Le roman d'Apollonius de Tyr : version française du XVe siècle de l'histoire d'Apollonius de Tyr, publiée et traduite par Michel Zink d'après le manuscrit Vienne, Nationalbibliothek 3428, avec une introduction, des notes et des extraits d'autres versions du même roman /","Zink, Michel.","Paris : Le livre de poche, 2006.",99523589312205899
30112000331667,LO_2020_07_23,,FALSE,SE. K284e,Ernie and Bert's flashlight adventure /,"Keller, Sylvia.","New York : Random House, 1995.",99383551112205899
30112011148845,LO_2020_07_23,,FALSE,SE. B711d1995,Doggies : a counting and barking book /,"Boynton, Sandra.","New York : Little Simon Books, 1995.",99374577412205899
30112011148886,LO_2020_07_23,,FALSE,SE. B711o1995,Opposites /,"Boynton, Sandra.","New York, N.Y. : Little Simon, 1995.",99377560512205899
30112084610952,LO_2020_07_23,,FALSE,DS777 .L424,Sun Zhongshan yu Riben /,"Li, Jikui.","[Guangzhou] : Guangdong ren min chu ban she, 1996.",99581062112205899
30112063149162,LO_2020_07_23,,FALSE,867 C497OB,La burra espatllada /,"Cistaré, Lali,","Barcelona : Selecta, 1980.",9997120012205899
30112012002595,LO_2020_07_23,,FALSE,HT1345 .C55 1977,The Barbary slaves /,"Clissold, Stephen,","Totowa, N.J. : Rowman and Littlefield, 1977.",9928989812205899
30112037554786,LO_2020_07_23,,FALSE,865 UN5ODE1925,De Fuerteventura a París; diario íntimo de confinamiento y destierro vertido en sonetos,"Unamuno, Miguel de,","Paris : Editorial Excelsior, 1925.",99204673512205899
30112048378266,LO_2020_07_23,,FALSE,894.3 H53MFA,Paysages humains ... /,"Nâzım Hikmet,","Paris : F Maspero, 1973.",99283546612205899
30112041065399,LO_2020_07_23,,FALSE,KNN32 .A2 1999,Da Ming lü : [30 juan] /,"Huai, Xiaofeng.","Beijing : Fa lü chu ban she, 1999.",99429081812205899
30112109329034,LO_2020_07_23,,FALSE,LABO.12/2011.110,Heterocity /,"Orellana Suárez, Mauricio,","San José, Costa Rica : Ediciones Lanzallamas, [2011]",99684068612205899
3011210761201930112048399486,LO_2020_07_23,,FALSE,KNN281.C37 H8 2008,Zhongguo gu dai si xing zhi du shi = A study of the death penalty system in ancient China /,"Hu, Xingdong.","Beijing Shi : Fa lü chu ban she, 2008.",99656087312205899
30112048399486,LO_2020_07_23,,FALSE,301 R114N,A natural science of society.,"Radcliffe-Brown, A. R.","Glencoe, Ill., Free Press [1957]",99121856712205899
30112096303612,LO_2020_07_23,,FALSE,LABO.04/2009.104.,Dichosos los que lloran /,"Santiesteban Prats, Angel,","La Habana : Casa de las Américas, c2006.",99586779012205899
30112114302067,LO_2020_07_23,,FALSE,DVD M1630.18.B43 A94 2006,Awesome; i...shot that!,"Beastie Boys,","[United States] : Seville, 2006.",99766644312205899
30112062076101,DS_2020_08_10,BC100,TRUE,538.36 M834C,"Canted antiferromagnetism, hematite /","Morrish, Allan H.","Singapore ; World Scientific, 1994.",99372226812205899
