(not set)	(not set)	(not set)	1
Italy	Lombardy	Milan	1
South Korea	Seoul	Seoul	5
United Arab Emirates	Dubai	Dubai	2
United States	California	Redding	1
United States	California	San Diego	20
United States	Colorado	Durango	2
United States	District of Columbia	Washington	1
United States	Florida	Cocoa Beach	1
United States	Florida	Punta Gorda	1
United States	Illinois	(not set)	1
United States	Illinois	Calumet City	4
United States	Illinois	Champaign	357
United States	Illinois	Chicago	24
United States	Illinois	East Peoria	14
United States	Illinois	Elgin	7
United States	Illinois	Galesburg	5
United States	Illinois	Mahomet	2
United States	Illinois	Monticello	1
United States	Illinois	Morton	19
United States	Illinois	Oak Brook	2
United States	Illinois	Palatine	1
United States	Illinois	Pekin	8
United States	Illinois	Peoria	11
United States	Illinois	Plainfield	1
United States	Illinois	Saint Joseph	11
United States	Illinois	Savoy	15
United States	Illinois	Schaumburg	3
United States	Illinois	Springfield	1
United States	Illinois	Urbana	287
United States	Indiana	Highland	4
United States	Iowa	Cedar Rapids	2
United States	Iowa	Marion	1
United States	Maine	Orono	4
United States	Maryland	Glen Burnie	4
United States	Massachusetts	Boston	1
United States	Michigan	Meridian charter Township	2
United States	Minnesota	Burnsville	3
United States	Missouri	Clayton	1
United States	New York	(not set)	2
United States	North Carolina	Fayetteville	1
United States	Ohio	Columbus	5
United States	Ohio	Huber Heights	3
United States	Pennsylvania	(not set)	11
United States	Pennsylvania	Erie	4
United States	Pennsylvania	Philadelphia	2
United States	South Carolina	Greenville	1
United States	Wisconsin	Beloit	1
United States	Wisconsin	Green Bay	3
